Eu estou comendo queijo.	Eu comi o queijo.
Eu tenho um amigo que faz isso.	Eu tenho uma amiga que faz isso.
Quero tentar ser justo.	Eu quero tentar ser justa.
Eu quero ser escritor.	Eu quero ser escritora.
Eu queria acabar isso mais cedo.	Eu queria terminar isso mais cedo.
Eu levei uma forte picada de uma vespa.	Eu levei uma picada horrível de um marimbondo.
Bem-vindo à França!	Bem-vinda à França!
Bem-vindo à França!	Bem-vindos à França!
Bem-vindo à França!	Bem-vindas à França!
Alguns o seguiram.	Algumas pessoas o seguiram.
O pai de Tom era um homem de muita sabedoria.	O pai do Tome foi uma pessoa muito sábia
Eu tenho certeza de que eu posso fazer melhor.	Tenho certeza de que posso fazer melhor.
Tom vai estar trabalhando na segunda.	Tom estará no trabalho segunda-feira.
Você não pode culpar Tom por esse problema.	Você não pode colocar a culpa desse problema em Tom.
Este é um time muito bom.	Esta é uma equipe muito boa.
Vou deixar vocês fazer isso.	Vou deixar que vocês façam isso.
Vejo Tom quase todo dia.	Eu vejo Tom quase todos os dias.
Falei com o Tom na segunda.	Falei com Tom segunda-feira.
Não tenho medo da morte, mas prefiro não estar lá quando ela aparecer.	Eu não temo a morte, mas prefiro estar longe quando ela aparecer.
Sei que muitos discordam de mim.	Sei que muita gente não concorda comigo.
Estes dois lápis são semelhantes, mas não são iguais.	Estes lápis talvez se pareçam, mas não são iguais.
Meta estas meias logo! Estamos atrasados.	Calce logo essas meias. Estamos atrasados!
Você já esteve na Suíça?	Você já foi à Suíssa?
Não há uma resposta para esse pergunta.	Essa pergunta não tem resposta.
Tom nasceu há três meses.	Tom nasceu três meses atrás.
Nós temos que continuar focados.	Nós temos que permanecer focados.
Você provou este bolo?	Você experimentou este bolo?
Eu vou consertar isso eu mesmo.	Eu vou consertar isso sozinho.
Tom não nos decepcionou.	Tom não nos desapontou.
Ela é um pequeno demônio.	Ela é um demoniozinho.
Os três homens grandes estão comendo.	Os três homens grandes comem.
Joan corre na cidade.	Joan está correndo na cidade.
Eu fiquei aterrorizado.	Eu me senti aterrorizado.
Vocês lavarão a maçã.	Lavarás a maçã.
O problema é que não temos muito tempo.	O problema é que a gente não tem muito tempo.
A minha mulher é atriz.	A minha esposa é atriz.
Dou carta branca a ambos para fazerem tudo o que acharem necessário.	Dou a ambos irrestrita autorização para fazer tudo o que acharem necessário.
O sangue vibra em minhas veias.	O sangue pulsa em minhas veias.
Tom dormiu rápido.	Tom adormeceu rapidamente.
Nós oferecemos frete grátis.	Oferecemos frete grátis.
Você é um excelente escritor.	És um escritor formidável.
Você é uma excelente escritora.	És um escritor formidável.
Não mostre misericórdia.	Não mostres misericórdia.
Eu odeio discussões.	Eu odeio brigas.
Eu sou indiferente a bajulação.	Eu sou indiferente a puxação de saco.
Segundo set, Krajicek vai sacar.	Segundo set, Krajicek servindo.
Parece que o Jim perdeu o trem das sete.	Parecia que o Jim tinha perdido o comboio das sete horas.
Eu falo inglês, esperanto, francês e japonês.	Falo em inglês, Esperanto, francês e japonês.
No século XXI, é indispensável conhecer pelo menos uma língua estrangeira.	No século XXI é imprescindível o domínio de pelo menos uma língua estrangeira.
O foguete foi lançado hoje de manhã.	O foguete foi lançado nesta manhã.
Tente usar outro navegador.	Tente usar um navegador diferente.
Não acho que Papai Noel não existe.	Eu não acho que o Papai Noel seja imaginário.
A tecnologia melhorou desde então.	A tecnologia tem melhorado desde então.
De qualquer maneira, já te perdoei por completo.	De qualquer maneira, eu já desculpei você inteiramente.
De qualquer maneira, já perdoei vocês completamente.	De qualquer maneira, eu já desculpei você inteiramente.
Esse sentimento não vai durar muito tempo.	Esse sentimento não durará muito tempo.
Só as cerejas restaram.	Restaram apenas as cerejas.
Esperamos que você se junte a nós.	Esperamos que vocês se juntem a nós.
Eu realmente acredito nisto.	Eu acredito sinceramente nisto.
Não fazemos assim.	Nós não fazemos assim.
Tom mora em uma casa pequena.	Tom mora em uma casinha pequenina.
Os dedos dos pés de Tom estão doloridos.	Tom tem dedos doloridos.
Uma árvore leva anos para crescer, e, contudo, pode ser cortada em apenas alguns segundos.	Uma árvore demora anos para crescer e, no entanto, leva apenas alguns segundos para ser cortada.
Chega de discussão!	Basta de discussão!
Tom volta daqui a umas três horas.	Tom estará de volta em cerca de três horas.
Agora você tem tudo de que precisa.	Agora vocês têm tudo de que precisam.
Isso poderia valer milhões.	Poderia valer milhões.
Eu saí da cama.	Eu me levantei da cama.
Segura a minha mão se tens medo.	Segure a minha mão, se estiver com medo.
Tom precisava ficar em Boston.	Tom devia ter ficado em Boston.
Coloque isso em inglês.	Traduza isto em inglês.
O Esperanto é uma língua flexível e prática, fácil de aprender e memorizar.	O Esperanto é uma língua flexível, fácil de ser aprendida, praticável e memorável.
O júri está deliberando.	O júri delibera.
Tom teve um romance.	Tom teve uma relação amorosa.
Tom teve um caso de amor.	Tom teve um romance.
Nós fizemos muitas melhorias.	Fizemos muitas melhorias.
Nós lemos o que você escreveu.	Nós lemos o que vocês escreveram.
Isso não está acabado mesmo.	Isso está longe de acabar.
Eu gosto de elefantes.	Gosto de elefantes.
De vez em quando o Tom pede ajuda.	Vira e mexe o Tom pede ajuda.
Vamos precisar dos dois.	Iremos precisar de ambos.
Você nadou?	Vocês nadaram?
Você vai nadar?	Vocês vão nadar?
Você vai nadar?	Você está indo nadar?
Você vai nadar?	Vocês estão indo nadar?
Uma bebida até que seria bem-vinda.	Eu até que aceitaria uma bebida.
Eu gosto de barganhar.	Eu gosto de pechinchar.
Você gosta de barganhar?	Você gosta de pechinchar?
Eu espero que o Tom possa te ajudar.	Espero que Tom possa ajudá-lo.
Agora sim eu entendi, obrigado.	Okay, obrigado, agora eu entendo.
Meu coração está partido em mil pedaços.	Meu coração se despedaçou em mil pedaços.
Este é tão bom como aquele.	Este é tão bom quanto aquele.
Este é tão bom quanto aquele.	Esta é tão boa quanto aquela.
Esta é tão boa como aquela.	Este é tão bom quanto aquele.
Achei que a Hillary fosse ganhar.	Eu achava que a Hilary iria ganhar.
Ele aparecia em último lugar na lista.	Ele ocupava o último lugar da lista.
Ele era o último da lista.	Ele ocupava o último lugar da lista.
A nossa neta nasceu anteontem.	Anteontem nasceu nossa neta.
Temos valores e interesses em comum.	Temos valores e interesses comuns.
Temos valores e interesses em comum.	Nós compartilhamos valores e interesses.
Eles não estavam sentados na praia.	Eles não se sentaram na praia.
Você esperou por nós?	Vocês esperaram por nós?
Ele comprou.	Ela comprou.
Até agora Maria lembra as palavras amargas de Tom.	Maria ainda se lembra das palavras amargas de Tom.
Quem é você para lhe dizer o que ele deve fazer?	Quem és tu para lhe dizer o que tem de fazer?
Tom faz chantagem emocional com Maria.	Tom chantageia emocionalmente Maria.
Você estava fazendo compras?	Vocês estavam fazendo compras?
Você estava fazendo compras?	Estavas fazendo compras?
Eu mesmo fiz esta comida.	Eu preparei esta comida.
O riso é um assunto sério.	O riso é uma coisa séria.
Eu vou tirar uma soneca depois do almoço.	Eu vou tirar um cochilo depois do almoço.
Preciso de você para desbloquear meu computador.	Preciso que você desbloqueie o meu computador.
Tom não sabia o que a Mary iria dizer.	Tom não sabia o que Mary diria.
O Irlandês é a primeira língua oficial da Irlanda.	Irlandês é a língua oficial primária da Irlanda.
É sempre quente assim?	É sempre quente desse jeito?
Eu tenho catorze anos.	Tenho catorze anos.
Eu tenho quatorze anos.	Eu tenho catorze anos.
Eu tenho catorze anos.	Tenho quatorze anos.
Meu almoço foi um sanduíche.	Eu almocei um sanduíche.
Tom está completamente louco!	Tom é totalmente maluco!
Em cada um de nós dorme um superpoder.	Oculta, a divindade está em cada um de nós.
Eu gosto de comidas exóticas.	Gosto de comida exótica.
É uma nevasca.	Isso é uma tempestade de neve.
Tanto Tom quanto a Mary estavam exaustos.	Ambos Tom e Mary estavam exaustos.
Fechamos o restaurante há três anos.	Fechamos o restaurante faz três anos.
Você estava certo na primeira vez.	Tu tinhas razão na primeira vez.
Você estava certo na primeira vez.	Vós estáveis certas na primeira vez.
Você estava certo na primeira vez.	A senhora estava com a razão na primeira vez.
Você estava certo na primeira vez.	Os senhores estavam certos na primeira vez.
Tom estava descendo a rua.	Tom descia a rua.
Tom fez amizade com todos.	Tom fez amizade com todo mundo.
Não há restrição.	Não existe restrição.
O Tom pediu para a Mary para dar uma olhada.	Tom pediu a Mary que desse uma olhada.
A polícia não pode fazer nada.	A polícia não poderá fazer nada.
A experiência foi boa.	A experiência tem sido boa.
Tom está se divertindo demais.	Tom está se divertindo à beça.
Não se esqueçam mesmo de fazer seguro.	Não deixes de fazer seguro.
Tom tinha um jeito de quem era namorador.	Tom tinha um quê de namorador.
O Tom tinha pinta de namorador.	Tom tinha um quê de namorador.
Tom quer conhecer pessoas novas.	Tom quer conhecer gente nova.
O Tom é tão trabalhador quanto qualquer outro.	O Tom trabalha duro quanto qualquer outro.
Não há forma de contornar isso.	Não há hipótese de dar a volta a isso.
Tom conhece Boston como ninguém.	Tom conhece Boston de cabo a rabo.
Você é um gênio para música.	Você é um gênio musical.
Não, mas obrigado pelo convite.	Não, mas obrigada pelo convite.
Vou te fazer uma pergunta.	Vou fazer uma pergunta a você.
O Tom é incrivelmente ingênuo,	O Tom é inacreditavelmente ingênuo,
Reorganize seus móveis.	Reorganize sua mobília.
Tom pensou que fosse um engano.	Tom achou que era alguma vigarice.
Nós conseguimos salvar Tom.	Nós pudemos salvar Tom.
O Tom não está no voo.	Tom não estava no voo.
Eu estava pronto fisicamente.	Eu estava pronta fisicamente.
O Tom não pediu nada.	O Tom não perguntou nada.
O Tom não pediu nada.	O Tom não pedia nada.
O Tom tem que encontrar a Mary.	O Tom precisa encontrar a Mary.
Está parecendo armação.	Está com cara de mutreta.
Estou cansado do jogo.	Cansei do jogo.
Isso rapidamente mudou.	Aquilo rapidamente mudou.
Tom é um grande escritor.	Tom é um ótimo escritor.
Tom trabalha diligentemente.	Tom trabalha zelosamente.
Estou orando por você.	Estou orando por vocês.
O céu existe?	Existe o paraíso?
Eu vi alguns corpos.	Eu vi uns corpos.
Você é meu primo?	Você é minha prima?
Contamos com eles.	Nós contamos com eles.
Nós contamos com eles.	Nós contamos com elas.
Nós contamos com eles.	Contamos com elas.
Estava molhado.	Estava molhada.
Tom diz que ele já falou com você sobre aquele assunto.	O Tom diz que já falou contigo sobre esse assunto.
Tom diz que ele já falou com você sobre aquele assunto.	O Tom diz já ter falado com vocês a respeito desse assunto,
O Tom agiu fora do personagem.	Tom desempenhou o papel de maneira inadequada.
O Tom agiu fora do personagem.	Tom representou em desacordo com a índole do personagem.
Eu sou da Ásia.	Sou da Ásia.
Eu tenho muitos amigos canadenses.	Eu tenho muitas amigas canadenses.
Eu tenho muitos amigos canadenses.	Muitos dos meus amigos são canadenses.
Eu tenho muitos amigos canadenses.	Eu tenho um monte de amigos canadenses.
Você ficou sozinho a semana toda?	Você ficou sozinha a semana toda?
Você dançou sozinho?	Você dançou sozinha?
Não estava em casa?	Eles estavam em casa?
Não estava em casa?	Estavam em casa?
Como você aprendeu a dançar?	Como vocês aprenderam a dançar?
Eu acho que Tom teria discordado.	Acho que o Tom teria discordado.
Assim que Tom pediu Mary em casamento, ele percebeu que aquilo era um erro.	Assim que Tom propôs casamento a Mary, ele percebeu que cometera um erro.
Eles foram abençoados.	Elas foram abençoadas.
Eu é que peguei o livro.	Fui eu quem pegou o livro.
Por que não voltou para casa ontem à noite?	Por que você não veio para casa noite passada?
Na verdade, viste o Tomás ajudar a Maria?	Viste realmente o Tomás a ajudar a Maria?
Tom é mais velho do que seu pai.	Tom é mais velho que o pai de vocês.
O Tomás é mais velho que o teu pai.	Tom é mais velho do que seu pai.
Não achei que podíamos ajudar você.	Não achei que podíamos te ajudar.
"A que horas você se levanta?" "Às oito da manhã."	"Quando você se levanta?" - "Às 8 da manhã".
Tom começou a revistar a casa.	Tom começou a vasculhar a casa.
Vou cantar para você uma canção de ninar.	Vou cantar para você um acalanto.
Você já me derrotou seis vezes.	Tu já me venceste seis vezes.
Você já me derrotou seis vezes.	Vocês já me venceram seis vezes.
Tom ainda não pode fazer isso.	Tom ainda não consegue fazer isso.
Você não está bravo?	Você não está zangado?
Não é pesado.	Não é pesada.
Não é pesado.	Não está pesada.
Me sinto muito triste.	Sinto-me muito triste.
Estou vivo.	Estou viva.
Eu sou mandona.	Eu sou mandão.
Eu dei um assobio.	Eu assobiei.
Eu dei um assobio.	Eu vaiei.
Eu vim sozinho.	Eu vim sozinha.
Eu coloquei uma armadilha.	Coloquei uma armadilha.
Ele queria dar-mas.	Ele queria dar-mos.
O Tom não vai ser punido.	Tom não será punido.
O Tom se sentiu negligenciado.	O Tom se sentia negligenciado.
Eu sou autista.	Sou autista.
Eu jurei ao Tom.	Eu xinguei o Tom.
Eu jurei ao Tom.	Eu disse palavrões ao Tom.
Quantas moedas você encontrou?	Quantas moedas vocês encontraram?
Não fui eu quem disse a Tom para cantar.	Não fui eu quem falou para o Tom cantar.
Não fui eu quem falou para o Tom cantar.	Não fui eu que disse a Tom que cantasse.
Quanto eles estão te pagando?	Quanto eles te pagam?
Tom sabe como consolar as pessoas.	Tom sabe como confortar as pessoas.
Acho que o ano será bom.	Acho que o ano vai ser bom.
Quantos relógios vocês têm em casa?	Quantos relógios tu tens em casa?
Você quer mesmo ir a Boston?	Você quer realmente ir a Boston?
De quanto dinheiro você ainda precisa?	De quanto dinheiro o senhor ainda precisa?
De quanto dinheiro você ainda precisa?	De quanto dinheiro vocês ainda precisam?
Tom tem inspirado muitos estudantes.	Tom inspirou muitos estudantes.
Há quanto tempo o senhor está com febre?	Há quanto tempo a senhora está com febre?
Há quanto tempo você está com febre?	Há quanto tempo o senhor está com febre?
Há quanto tempo o senhor está com febre?	Há quanto tempo estás com febre?
Como é que você vai convencer Tom a ficar?	Como vocês vão convencer Tom a ficar?
Como vocês vão convencer Tom a ficar?	Como convencerás Tom a ficar?
Vamos continuar fazendo esse trabalho.	Vamos continuar a trabalhar nisso.
Fazer aquilo ainda está nos meus planos.	Ainda está nos meus planos fazer isso.
Não estou cansado nem um pouco.	Não estou sentindo nem um pingo de cansaço.
Ainda posso ganhar.	Eu ainda posso vencer.
Eu era pobre há três anos.	Há três anos eu era pobre.
Isso não me surpreendeu.	Não fiquei surpreso com isso.
Quando você vai vir para Boston?	Quando vocês vão vir para Boston?
Eu comi tudo.	Comi tudo.
Não esqueça de fechar a porta.	Tenha certeza de ter fechado a porta.
Eu trouxe isso comigo.	Trouxe isso comigo.
Não estou chapado.	Eu não estou chapado.
Iremos na segunda.	Nós iremos na segunda.
É definitivamente um incômodo.	Isso definitivamente é um incômodo.
Eu raramente chego atrasado.	Raramente chego atrasado.
Eu já disse isso a você muitas vezes.	Eu to disse muitas vezes.
Não há mais nada que nós possamos fazer aqui.	Não há mais nada que a gente possa fazer aqui.
Eu mesmo cortei o meu cabelo.	Eu mesmo corto meu cabelo.
Eu aceitei o trabalho.	Eu aceitei o emprego.
Já bebi três copos de café.	Já bebi três xícaras de café.
Não sou muito corajosa.	Não sou muito corajoso.
Não sou maluco.	Eu não sou maluco.
Não sou um chorão.	Não sou uma chorona.
Eu tomei uma dose.	Eu bebi uma dose.
Eu fatiei o presunto.	Fatiei o presunto.
Eu abri a tampa.	Eu desatarraxei a tampa.
Eu roubei uma coisa do Tom.	Eu roubei algo do Tom.
Você ainda tá com sede?	Ainda estás com sede?
Não me machuquei.	Eu não me machuquei.
Todos estão com sede.	Todo mundo tá com sede.
Eu fiquei calmo.	Fiquei calmo.
Quer brincar com a gente, Tom?	Quer brincar conosco, Tom?
Eu sou o gerente.	Sou o gerente.
Eu sou muito humilde.	Sou muito humilde.
Eu tenho que responder.	Tenho que responder.
Eu moro no centro.	Eu moro no centro da cidade.
Fui embora à meia-noite.	Saí à meia-noite.
Saí à meia-noite.	Parti à meia-noite.
Eu aparei a árvore.	Eu podei a árvore.
Tom diz que eu dirijo rápido demais.	O Tomás diz que eu conduzo demasiado depressa.
Comecei a andar.	Comecei a caminhar.
Eu trouxe flores.	Eu comprei flores.
Tom pode obter isso para você.	Tom pode adquirir isso para você.
Não sou nenhum psicopata.	Eu não estou psicologicamente doente.
Eu não posso usar isso.	Não posso usar isto.
Eu virei o botão.	Eu girei o botão.
Acho que sou um bom treinador.	Eu me considero um bom treinador.
Eu dei as cartas.	Dei as cartas.
Eu dei as cartas.	Eu distribuí as cartas.
Eu dei as cartas.	Distribuí as cartas.
Eu fui a pé, mas não fui sozinho.	Eu utilizei um transporte, e não fui sozinho.
Quando eu era mais novo, fui balconista de bar.	Eu fui barman quando era mais moço.
Eu quase fui demitido.	Eu quase fui demitida.
Eu não fiquei chateada.	Eu não fiquei chateado.
Eu dirijo muito rápido.	Dirijo muito rápido.
Você parece estar otimista.	Vocês parecem estar otimistas.
Eu sou muito flexível.	Sou muito flexível.
Eu descarreguei o carro.	Descarreguei o carro.
Você deve ser canadense.	Vocês devem ser canadenses.
Eu desenhei uma espaçonave.	Desenhei uma espaçonave.
Queria mais tempo.	Eu queria mais tempo.
Queria mais tempo.	Eu precisava de mais tempo.
Eu tocava flauta.	Tocava flauta.
Eu tenho amigos aqui.	Tenho amigos aqui.
Eu mereço um aumento.	Mereço um aumento.
Eu desisti muito rápido.	Desisti muito rápido.
Eu apaguei o fogo.	Apaguei o fogo.
Ajudei muito, penso eu.	Eu ajudei bastante, eu acho.
Eu abri a mala.	Eu abri o porta-malas.
Eu tive uma quebra.	Tive um esgotamento nervoso.
Eu trabalho em Harvard.	Trabalho em Harvard.
Eu fui para a praia no último final de semana.	Fui à praia no último fim de semana.
Nos encontramos lá ontem.	Nós nos conhecemos lá ontem.
Nos encontramos lá ontem.	Nós nos encontramos ali ontem.
Até onde vai isso?	O quão longe isso vai?
Eu fui muito provocado.	Fui muito provocado.
Você fala Finlandês?	Falas finlandês?
Você fala Guarani?	Falas guarani?
Você fala hindi?	Falas híndi?
Tom tirou cópia da certidão de nascimento dele.	Tom fotocopiou sua certidão de nascimento.
O Fadil era apenas excelente em muitas diferentes áreas.	Fadil sobressaía de fato em muitas áreas diferentes.
A clínica do Fadil estava a prosperar.	A clientela de Fadil estava crescendo.
O sucesso profissional do Fadil veio com um preço pessoal.	O sucesso profissional de Fadil foi conseguido com sacrifício pessoal.
O Fadil passou longas horas no seu emprego.	Fadil passava longas horas em seu trabalho.
O Fadil e a Layla começaram a afastar-se.	Fadil e Layla começaram a se afastar um do outro.
Em Abril de 2004 o divórcio terminou.	Em abril de 2004, o divórcio foi concluído.
O Fadil era um advogado bem educado.	Fadil era um advogado culto.
O Fadil e a Layla começaram a falar sobre casamento.	Fadil e Layla começaram a falar em casamento.
O Fadil e a Layla tinham uma relação muito intensa.	Fadil e Layla tiveram um relacionamento muito intenso.
Os detectives consideraram diferentes motivos para o assassinato.	Os detetives levavam em consideração diferentes motivos para o assassinato.
O Fadil presumiu que a pulseira pertencesse a Layla.	Fadil presumiu que o bracelete pertencia a Layla.
Este parecia ser um assassinato intencional.	Isto pareceu ser um homicídio intencional.
Humor não é brincadeira.	Humor não é um assunto de risada.
Humor é um assunto sério.	Humor é negócio sério.
Ainda não tenho uma residência.	Ainda não tenho um lar.
Parecia que Fadil e Layla eram amaldiçoados.	Fadil e Layla pareciam amaldiçoados.
Fadil pensava que poderia evitar suspeitas.	Fadil pensou que pudesse evitar suspeitas.
Quando você vai para a biblioteca?	Quando é que tu vais à biblioteca?
Quando você vai para a biblioteca?	Quando ides vós à biblioteca?
Quando você vai para a biblioteca?	Quando vocês vão à biblioteca?
Quando você vai para a biblioteca?	Quando é que o senhor vai à biblioteca?
Quando você vai para a biblioteca?	Quando vai a senhora à biblioteca?
Quando você vai para a biblioteca?	Quando é que vão os senhores à biblioteca?
Quando você vai para a biblioteca?	Quando as senhoras vão à biblioteca?
Quando você vai para a biblioteca?	Quando é que vão à biblioteca?
Quando você vai para a biblioteca?	Quando irá à biblioteca?
Quando você vai para a biblioteca?	Quando irão à biblioteca?
Quando você vai para a biblioteca?	Quando tu irás à biblioteca?
Quando você vai para a biblioteca?	Quando ireis à biblioteca?
Quando você vai para a biblioteca?	Quando irá o senhor à biblioteca?
Quando você vai para a biblioteca?	Quando é que a senhora irá à biblioteca?
Quando você vai para a biblioteca?	Quando os senhores irão à biblioteca?
Quando você vai para a biblioteca?	Quando é que as senhoras irão à biblioteca?
Layla queria apagar a memória da primeira mulher de Fadil.	Layla queria obliterar a memória da primeira esposa de Fadil.
Você cantou?	Tu cantaste?
Você cantou?	Vocês cantaram?
Tom faz a barba três vezes por semana.	Tom se barbeia três vezes por semana.
Eu fiz tudo corretamente?	Fiz tudo direitinho?
Vou fazer de conta que isso não aconteceu.	Eu vou fingir que isso não aconteceu.
Como você foi parar aí?	Como é que você foi parar ali?
Sinto tanto a sua falta que estou chorando.	Choro de saudade.
Tom mentiu sob juramento.	Tom cometeu perjúrio.
Foi muito mais trabalho do que eu esperava.	Foi muito mais trabalhoso que eu esperava.
Tom se juntou na banda da escola.	Tom entrou para a banda do ensino médio.
Olha que traseiro!	Olhe para aquele rabo.
Ele anda no parque.	Ele caminha no parque.
Eu normalmente fico acordado até depois da meia-noite.	Normalmente eu fico acordado até de madrugada.
Você não parece estar sequer tentando.	Vocês não parecem estar sequer tentando.
Eu quase me matei há três anos.	Eu quase me matei três anos atrás.
Eu me vi no espelho.	Eu vi a mim mesmo no espelho.
Eu desliguei o motor.	Desliguei o motor.
Você nem sequer sorriu.	Vocês nem sequer sorriram.
Lave aquela janela.	Lavem aquela janela.
Lava aquela janela.	Lave aquela janela.
Lave aquela janela.	Lavem a janela.
Lava a janela.	Lave aquela janela.
Lave as janelas.	Lavem as janelas.
Lava as janelas.	Lave as janelas.
Antes, neste país, as mulheres não costumavam falar de política.	Antes, neste país, não era costume as mulheres falarem de política.
Eu tenho uma letra péssima.	Minha letra é horrível.
Você não deve matar seres vivos para se divertir.	Você não tem o direito de matar seres vivos por diversão.
Vamos declarar-lhes um boicote.	Vamos boicotá-los.
Ao te ver, eu coro.	Ao ver a senhora, eu enrubesço.
Eu coro quando vejo o senhor.	Ao ver a senhora, eu enrubesço.
Ao ver a senhora, eu enrubesço.	Eu enrubesço quando te vejo.
Vou ficar em Boston até dia 20 de outubro.	Ficarei em Boston até 20 de outubro.
Eu nunca saí com uma canadense.	Eu nunca namorei uma canadense.
Cuidado para não pisar na lama.	Cuidado, não vá pisar na lama.
Eu nem sempre uso protetor solar.	Nem sempre passo protetor solar.
Sou muito criativa.	Sou muito criativo.
Eu nunca mais volto para lá.	Eu nunca mais vou voltar para lá.
Se você quiser ter algo que nunca teve, terá de fazer o que nunca fez.	Se vocês quiserem ter alguma coisa que nunca tiveram, deverão fazer o que nunca tinham feito.
Por que tu não voltas para a cama?	Por que vocês não voltam para a cama?
Por que não estavam conosco ontem?	Por que não estáveis conosco ontem?
Os gigantes caem facilmente.	Gigantes são fáceis de cair.
Ninguém sabia que você estava em Boston.	Ninguém sabia que tu estavas em Boston.
Eu gosto muito de uma boa festinha.	Eu adoro uma boa festinha.
Eu abri a torneira.	Abri a torneira.
Sou muito organizado.	Sou muito organizada.
Eu sou muito organizado.	Sou muito organizado.
Eu sou muito organizada.	Sou muito organizado.
Eu comprei um carro usado.	Comprei um automóvel usado.
Não sou mais novo que Tom.	Não sou mais nova que Tom.
Nem me pergunte.	Nem queira saber.
Eu estou usando luvas.	Estou usando luvas.
Eu sou psiquiatra.	Sou psiquiatra.
Eu sou um aluno pobre.	Eu sou um estudante universitário pobre.
Sou muito dedicado.	Sou muito dedicada.
Eu sou muito dedicado.	Sou muito dedicado.
Eu sou muito dedicada.	Sou muito dedicado.
O Tom é desenvolvedor?	O Tom é programador?
A lontra estava brincando no rio.	A lontra brincava no rio.
Como está a Amanda?	Como vai a Amanda?
Não tem uma alma viva.	Não há sequer uma alma viva.
Ele ia me bater!	Ele iria me bater!
Quem quebrou essa mesa foi Tony.	Tony quebrou essa mesa.
Bela Lugosi morreu.	Bela Lugosi está morto.
Não sei grego.	Eu não sei grego.
Três gatos foram vivendo juntos na árvore.	Três gatas foram vivendo juntas na árvore.
Três gatos foram vivendo juntos na árvore.	Três gatinhos viviam juntos em uma árvore.
Vai demorar muito para que este paciente fique bem de novo.	Este paciente demorará muito a melhorar.
É um gueto.	Isso é um gueto.
Você comprou maçãs?	Vocês compraram maçãs?
Eu estou dentro da loja.	Estou dentro da loja
O cachorro está em baixo da mesa.	狗在桌子下边
Por que você está sempre tão séria?	Por que vocês estão sempre tão sérios?
Só ele não percebia isso.	Ele era o único que não percebia isso.
Esta casa tomba para um lado.	Esta casa se inclina para um lado.
Poucas pessoas sabem que existe.	Poucas pessoas sabem de sua existência.
Eu disse a Tom que não queria falar com ele nunca mais.	Eu disse ao Tom que nunca quis falar com ele outra vez.
Tom estava usando um suéter azul.	Tom estava vestindo um suéter azul.
Talvez você não concorde com o que eu estou dizendo.	Talvez você discorde do que eu estou dizendo.
Mosquitos são insetos.	Pernilongos são insetos.
Mosquitos são insetos.	Carapanãs são insetos.
Mosquitos são insetos.	Muriçocas são insetos.
Cookie só queria um cafuné.	Cookie só queria que lhe coçassem a barriga.
Tom quase morreu ontem.	Tom quase foi morto ontem.
Tom estará de volta em uma semana.	Tom estará de volta dentro de uma semana.
Você medita?	Vocês meditam?
Você pratica yoga?	Você pratica ioga?
Você pratica ioga?	Vocês praticam ioga?
Você pratica ioga?	Vocês praticam yoga?
Eu quero transar com vocês pelo ânus.	Eu quero copular com você pela bunda.
Tom e Mary têm que trabalhar juntos.	Tom e Mary precisam trabalhar juntos.
Eu sempre amei línguas.	Eu sempre amei linguagens.
Eu sempre amei línguas.	Eu sempre amei idiomas.
Eu sempre amei línguas.	Sempre amei línguas.
Eu sempre amei línguas.	Sempre amei idiomas.
Esse beeper é seu?	Este é o seu pager?
Eu não tive tempo de anotar.	Eu não consegui anotar.
Maria era uma pessoa muito boa.	Era uma pessoa muito boa a Maria.
Não seja mentiroso.	Não sejas mentiroso.
Eu sou de uma família pequena.	Sou de uma pequena família.
Faça seu dever sem se preocupar com as consequências.	Faz teu dever sem te preocupares com as consequências.
Suas cartas chegam em dois dias.	Tuas cartas levam dois dias para chegar.
Esta rua corta toda a cidade.	Esta rua atravessa toda a cidade.
Aquele atalho vai até a montanha.	Aquele atalho leva à montanha.
A ferida sangrava muito.	A ferida manava sangue.
A ferida sangrava muito.	Da ferida brotava sangue.
Ele preferiu o violino ao canto.	Ele preferiu tocar violino a cantar.
Temos a mesma opinião.	Somos da mesma opinião.
Ele tornou-se outro.	Ele ficou diferente.
A primavera começou de vez.	A primavera começou pra valer.
A primavera começou de vez.	A primavera começou com vontade.
Não tem sentido refazer.	Não adianta refazer.
"Hoje é segunda ou terça?" "Hoje é terça."	"Hoje é segunda-feira ou terça-feira?" "Hoje é terça-feira."
Ontem foi quarta e amanhã é sexta.	Ontem foi quarta-feira e amanhã é sexta-feira.
Você já decidiu aonde ir?	Já decidiste aonde ir?
Você já decidiu aonde ir?	Vocês já decidiram aonde ir?
Fiz tudo o que estava ao meu alcance.	Eu fiz tudo o que dependia de mim.
Por que você optou por essa carreira?	Por que vocês escolheram essa carreira?
Este folheto contém as informações necessárias.	Este folheto contém a informação necessária.
Você não quer fazer mais dinheiro?	Você não quer ganhar mais dinheiro?
De acordo, nós vamos convencê-los.	Está bem, nós os convenceremos.
Você não quer ver mais?	Tu não queres ver mais?
Você quer ser médico?	Tu queres ser médico?
Esta menina está comigo.	Esta garota está comigo.
Tom está dando tudo.	Tom está fazendo um esforço extremo.
A teoria dele não se baseia em fatos.	Sua teoria não se apoia em fatos.
Você não será capaz de subornar o Tom.	Você não conseguirá subornar o Tom.
É bem raro o Tom fazer isso.	Tom muito raramente faz isso.
Tom é um bandido de prestígio na localidade.	Tom é um bandido influente da localidade.
